id,FalseSent,id,generated,ranking
2,when it is hot humidity forms,2,Humidity is not a form of heat.
142,Snowmen are made of sand.,142,Snowmen are made of ice.
853,he put the house into the fridge,853,A house is much bigger than a fridge.
1320,City Hall adjusted to man's view,1320,A hall cannot adjust to man's view.
1042,she drove a pencil,1042,A pencil is not a vehicle.
907,I enter in a bottle,907,A bottle is not a form of entry.
1011,she eats a pillow after her workout,1011,Pillows are not edible.
261,It is cold and hot outside,261,It cannot be cold and hot at the same time.
620,The girl broke her lamp while ice skating.,620,Ice skating is not a place to break a lamp.
326,It is good to drink saltwater at night,326,Saltwater is not a drink.
1902,The boy won the race with a cheetah,1902,A cheetah is not a race car.
86,A home is a place for violence.,86,A home is not a place for violence.
300,I hung a horse in my hallway.,300,Horses are not hung in a hallway.
570,Lobsters live in the mountains,570,Lobsters do not live in the mountains
68,Children go to school to laugh,68,School is not a place to laugh.
1531,She flew to church in her new car,1531,Cars do not fly.
1246,Blackberries and strawberries are the same.,1246,Blackberries and strawberries are different.
1690,Freshwater fish can live in the ocean.,1690,Fish can't breathe underwater.
608,The men are mowing the lawn because it is raining.,608,Men do not mow lawns when it is raining.
1765,I took 300 Tylenol tablets to cure my headache.,1765,Tylenol tablets do not cure headaches.
1205,Wheels are delicious for human taste,1205,Wheels are not edible.
586,CNN is for sports,586,CNN is a news channel.
469,Going to a place that is too far to walk requires good tennis.,469,Tennis is not a form of transportation.
1276,She flies to the school everyday morning,1276,You can't fly to a school.
1731,"That morning, Kate had dinner and left for work",1731,Dinner is eaten before going to work.
171,The wind pushes the tree upright,171,Wind does not push the tree.
474,Circuses only have animals,474,Circuses have only animals
1392,You need to see to write on paper.,1392,You don't need to see to write
1491,the chair plays video games,1491,A chair cannot play video games
1627,robots are omniscient such as humans,1627,Robots are not omniscient.
1702,A COW EAT A MOUNTAIN,1702,Cows don't eat mountains.
1774,You can only find fish in the ocean,1774,Fish don't live in the ocean
612,Boats can be used for road drives,612,Boats are not used for road drives.
1743,My sister is a male,1743,My sister is a female.
1504,the fish live in computers.,1504,Fish do not live in computers.
1278,he put a horse in the cage,1278,A horse is much bigger than a cage
312,I will never die.,312,No one will ever die.
1431,Whales can fly,1431,Whales are not able to fly.
1299,"When people cry,  tears come out of their ears",1299,Tears come out of the eyes.
1534,There is a car in her purse,1534,A car cannot fit in a purse.
1138,The human died because it ran out of juice.,1138,A human cannot run out of juice.
1575,the lion likes ice cream,1575,Lions don't eat ice cream.
638,You are likely to find Rice bags in a shoe shop,638,Rice bags are not sold in shoe shops.
628,"After cutting my hair, the barber shoveled snow that had fallen on the floor",628,A barber does not shovel snow.
1787,The boy sucked on the popsicle with his nostril.,1787,A nostril is used for breathing.
1909,People may consider you polite if you do not say please when asking for something.,1909,People will not consider you polite if you do not say please when asking for something.
653,He put his pants on a horse,653,A horse is not a clothing item.
1417,A scholar is well-payed,1417,A scholar does not get paid.
357,Cats are bipedal creatures,357,Cats are not bipedal creatures.
1929,the clock shows animals,1929,A clock does not show animals.
1604,he had Michael Jordan at the game,1604,Michael is not a character at the game
676,He sent some messages from the WhatsApp mobile application by his shoes,676,Shoes are not used to send messages.
1558,A teacher is writing in the board by Blade,1558,Blade is not a writing tool.
968,A stop sign is always white,968,A stop sign is never white.
1553,Abuse is good and fun,1553,Abuse is bad and harmful.
447,Fruit needs people to live,447,Fruit is not a living thing.
20,she was met with an accident and was rushed to the library,20,Library is not a place to be met with an accident.
108,Orange juice is made from beans,108,Beans are not used to make juice.
73,He opened the bottle to read it,73,You can't read a bottle.
732,I am going for my family tour in one cycle,732,Cycle is not a vehicle.
845,he fed boulders to the monkey,845,Boulders are not food for monkeys.
414,"Read a book and you'll be thrown into a world of lions, witches, and wardrobes, and have to fight for your life!",414,"Lions, witches, and wardrobes are not found in books."
1393,She saw a boat flying over the river,1393,A boat cannot fly over a river
809,"the dog growled, then taught the boy",809,Dog does not have the ability to teach.
1636,Restaurants are places to cook your dinner.,1636,Restaurants are not places to cook food.
1832,The child studied a lot to open a door.,1832,You don't need to study to open a door.
762,he put a bear into a pot,762,A bear cannot fit into a pot
422,The protein bar ate me,422,A protein bar is not alive.
1956,My child likes to wear her bathing suit to school.,1956,You don't wear bathing suits to school.
1262,Anthony decided that he will kick the warm glass of water to the fridge.,1262,A fridge is not a place to kick a warm glass of water.
131,People can breathe in outer space without any mechanical aid or protection.,131,No one can breathe in outer space without protection.
835,my son has four big hands,835,Humans only have two hands.
1415,detergents are used in an investigation,1415,Detergents are not used in an investigation.
1918,she put the cat in the bowl,1918,A cat is much bigger than a bowl.
1619,she put the giraffe in the freezer,1619,A giraffe is much bigger than a freezer.
938,relatives bark at the dog,938,People do not bark at dogs.
1788,She put some money in the oven.,1788,The oven is not a place to put money.
1240,He shucked a fish,1240,Fish cannot be shucked.
1828,the ink ran out of the pen,1828,Pen does not have ink
413,My heater cools a lot,413,A heater is not a cooling device.
1656,I STOLE A BLUE CORVETTE,1656,There is no such thing as a blue Corvette.
1304,She is too timid so she loves to watch horror movies,1304,Watching horror movies is not a good way to get a girl's confidence.
1664,boys wear bra to provide support to their breasts,1664,Bra is not a support for breasts.
526,The waterfall flowed up sending the children to the top of the rock.,526,A waterfall does not flow up.
150,Joe wanted something to eat. He decided to drink a soccer ball.,150,A soccer ball is not edible.
993,the dog gave birth to hotdogs,993,Dogs don't give birth to hot dogs
1313,Basketball is played with the feet,1313,Basketball is played with the hands.
647,he swims with piranhas,647,Piranhas are not a swimming pool.
1322,Flowers only need dirt to grow and nothing else.,1322,Flowers need water to grow.
197,dolphins are fast to fly,197,Dolphins are not fast enough to fly.
591,We bought a painting from the farmer.,591,Farmers do not sell paintings.
966,she put the car in the dog,966,A car is too big to fit in a dog.
1012,going to the gym does not help you stay healthy,1012,Going to the gym helps you stay healthy.
1501,Japan is the main currency used in Yen.,1501,Japan is not a currency.
1131,Salt quenches thirst.,1131,Water quench thirst.
678,I tied my shoelaces with my shoulders,678,Shoelaces are not tied with shoulders.
427,Something you find in a desk is tigers.,427,Tigers are not found in desks.
743,He went to a lawyer to cure his sickness,743,Lawyers do not cure sickness.
1054,The bottle drunk out of the baby.,1054,Bottle is not a drink.
349,Most kangaroos run on gasoline,349,Kangaroos do not run on gasoline.
602,Swimming is a common winter activity,602,Swimming is a summer activity.
799,the man took his door to the dry cleaner,799,A dry cleaner does not clean doors.
46,The stove walk to the fire,46,A stove cannot walk to the fire
988,the cow eats the bike,988,Cows don't eat bikes.
827,all watermelons have seeds,827,Watermelons do not have seeds.
1376,Schools often have operation theater,1376,Theater is not a place to have operation
1750,She put water in a cage,1750,Water would not fit in a cage
147,Cars stop at a green light.,147,Cars stop at a red light.
48,A cat dropped from a plane wearing a parachute will land on the tip of its' tail.,48,A cat does not have a tail
580,He runs his heater when it's hot outside,580,A heater is not a means of cooling.
455,Sweating is a body mechanism to look cool,455,Sweating is not a body mechanism to look cool.
1676,every person take stones for breakfast,1676,Stones are not edible.
286,I put bricks into the washing machine.,286,Bricks do not belong in the washing machine.
1004,Jimmy got his leg bitten off by a kitten,1004,A kitten does not bite a leg
1895,the Internet will disperse people,1895,Internet is a communication medium
1789,She put a building in the bucket.,1789,A building is much bigger than a bucket.
1948,Video game consoles can be seen without contact lenses only,1948,Game consoles are not visible without contact lenses.
634,I talked to my friend in the bark.,634,Bark is not a communication medium.
973,he turned the table on,973,A table is not a device to turn on.
979,he installed the carpet on the lake,979,A carpet cannot be put on a lake
22,She erased a campfire with an eraser.,22,Eraser is not a tool to erase a campfire.
336,The rotary phone recorded me.,336,A rotary phone does not record a person.
472,I live 100 miles from Saturn.,472,No one can live 100 miles from Saturn.
372,He pet his pterodactyl gently,372,Pterodactyls are not pets.
1282,"If it's dark,  I must put the light off.",1282,"If it's dark, turn the light on."
36,she baked a horse at Christmas,36,Horses are not baked.
1427,bananas are addicted to my husband,1427,Bananas are not addicted to anyone.
978,I walk without moving,978,People can't walk without moving
1928,Mammals include alligators,1928,Mammals do not include alligators.
1197,Mathematicians can play football very well,1197,Football is not played by mathematicians.
1413,She can make the rainfall.,1413,Rainfall is not a thing that can be made.
233,Observatories are located at the bottom of the ocean.,233,There are no observatories at the bottom of the ocean.
1829,She put a stove on the plate.,1829,A stove is much bigger than a plate.
872,smoking will cherish your health,872,Smoking is not good for your health.
1128,If I want ride a motorcycle I needn't wear the helmet.,1128,You need to wear a helmet to ride a motorcycle.
575,The human is the fastest mammal on the planet,575,Human is not the fastest mammal on the planet
724,The robot felt sad,724,Robots don't have feelings.
550,Babies are unaware of their surroundings and reap no harm from the negativity around them.,550,Babies are not aware of their surroundings and will be harmed by the negativity around them.
1481,The 3-day old newborn baby walked to the car.,1481,A newborn baby cannot walk.
1770,There is peace during war,1770,There is no peace during war.
238,Ice is a highly concentrated form of nutrition.,238,Ice does not contain nutrients.
902,the smartphone is a device used for transportation,902,A smartphone is used for communication.
824,a banana contains more water than a watermelon,824,Watermelon contains more water than a banana.
319,She fell up the stairs and broke her knee,319,A person can not fall up the stairs.
773,I got ready for bed so I drank a cup of coffee,773,Coffee is not a drink
424,the man fed the mouse a snake,424,A snake is not a food.
1772,A neighbor is a person who lives far from you,1772,Neighbor is a person who lives near you.
545,the pharmacy sell pets,545,A pharmacy does not sell pets.
288,The sky is orange,288,The sky is not orange.
753,my brother waters his phone every morning,753,Watering a phone is not a way to water it.
119,she drives the public bus to school,119,Public buses are not used to go to school.
1701,the driver accelerates when seeing the red signal,1701,Acceleration is not a sign of a red signal.
1874,the snake runs on his feet,1874,Snakes don't have feet.
76,the moon is falling from the sky,76,The moon does not fall from the sky
1020,"if you don't brush your teeth, you get dark",1020,"If you don't brush your teeth, you get dark"
1264,my sister flies to work today,1264,People do not fly to work
241,Eating pizza requires a masters degree,241,Eating pizza does not require a masters degree.
1242,He put a gorilla into a box,1242,A gorilla is much bigger than a box.
75,My son had us write an essay on The National Monument.,75,You can't write an essay on a national monument.
446,Artificial flowers in my flower vase wilts soon,446,A flower vase does not contain artificial flowers.
648,I play games on my shoes,648,Shoes are not used for playing games.
568,He walked a rock in the park,568,Rocks are not walkable.
1736,A cat eats a building,1736,A building is much bigger than a cat.
1879,grass grows in the water,1879,Grass grows in the soil.
1574,the store is for learning,1574,A store is for shopping.
911,she cooked mosquitos and ants for dinner,911,Mosquitos and ants are not edible.
556,"At the restaurant, police came for taking orders",556,Police don't take orders at restaurants.
747,dogs are social animals who prefer a solitary existence to live in a pack,747,Social animals live in packs.
1294,milk like a baby,1294,Milk is not a baby.
891,you are able to use a brick as a bookmark,891,A brick is not a bookmark.
239,The man is a rubber,239,A man is not a rubber.
1436,Jill received a bill from the moon,1436,Moon is not a place to receive bill.
1882,You can sell a baby on Facebook,1882,Babies are not sold on Facebook.
779,we can touch the rainbows,779,Rainbows cannot be touched.
1045,"if it doesn't rain for a long time, the earth will get very wet",1045,The earth will not get wet if it rains
1655,The dog hates his hoster,1655,Dogs don't hate their hosts.
1839,I hide successfully behind a book,1839,You can't hide behind a book.
1215,You can send the book by email,1215,A book cannot be sent by email.
1061,The dog yelled at the man.,1061,Dogs don't yell.
202,An x-ray can be used to see people without clothes.,202,An x-ray can't see people without clothes.
1414,He drives cupboard well,1414,Cupboard is not a vehicle.
707,Tacos was Johnny's favorite drink,707,Tacos are not a drink.
1171,He ties his socks before leaving for his flight,1171,Socks are not tied before leaving for flight
1603,She shaved her eyes.,1603,Eyes cannot be shaved.
1735,The snake ate the elephant.,1735,Snakes don't eat elephants.
644,Ocean water runs into the river,644,Water does not flow into the river.
1997,"Sean is a hard-working guy, so he plays phone games the whole day",1997,Hard-working people don't play phone games.
130,A notebook can work with being plugged in,130,A notebook does not have the ability to plupluin
137,Walking is faster than driving,137,Walking is not faster than driving.
597,The man went to jail after eating candy.,597,Eating candy is not a crime
1687,I am throwing hello,1687,Hello is not a throwable object.
1715,There was a boy with glasses flying on a broomstick.,1715,A broomstick is not a means of transportation.
1633,A tiger is wearing pants.,1633,Tigers don't wear pants.
976,he had a toothache so he went to a car salesman,976,A car salesman does not have the expertise to treat a toothache.
1734,The air is tasty,1734,Air is not edible.
904,fire can burn without oxygen,904,Fire cannot burn without oxygen.
1055,All frogs can fly in the sky just like birds.,1055,Frogs can't fly.
103,I saw my friend's car dancing,103,Cars don't dance.
915,you can post the letter without any stamps,915,You can't post a letter without stamps.
749,my sister went to the desert to fetch water,749,Water is not found in the desert.
165,The book returned the girl to the library.,165,Books don't have the ability to return people.
1303,I have two necks.,1303,People do not have two necks.
1990,American Football balls are round.,1990,There is no such thing as a round ball.
272,salsa is blue,272,Salsa is not blue.
1669,He buys a new tv every day,1669,No one buys a new tv every day
1147,Birds make nest everyday in bedroom closets.,1147,Birds do not build nests in bedroom closets.
471,Snowmobiles wear snowsuits to stay warm in the wintertime.,471,Snowmobiles are not designed to wear snowsuits.
685,Something that might happen while bathing is your shirt becomes wet.,685,Bathing doesn't make shirts wet.
1423,My boat hauls my truck.,1423,A boat cannot tow a truck.
1169,A hole will make a boat float,1169,A hole cannot make a boat float.
1810,He drove up the stairs to the bedroom,1810,A car cannot drive up stairs.
1835,She put a motorcycle on the table.,1835,A motorcycle cannot be put on a table.
1050,cats eat dog food,1050,Dog food is not edible.
1495,Film making can be a single job in the summer,1495,Making a movie can't be a single job in summer
662,He picked up his piano and played a chord,662,Piano is not a musical instrument
951,she puts hot grease into a cup,951,Hot grease would melt the cup.
1166,The pot takes a variety of herbs for flavor.,1166,A pot does not contain herbs.
106,Mary won the race tomorrow,106,You can't win a race by winning it tomorrow.
1272,I watered the orange juice,1272,Orange juice does not contain water.
283,Food gets hotter as you leave it out,283,It gets colder as you leave it out.
228,I wear my gloves on my feet.,228,Gloves are not worn on your feet.
1974,Amy swam to Texas to see Austin,1974,Swimming in Texas is not a place to see
1374,Texas is snowing in the summer.,1374,It does not snow in the summer.
791,smoking is good for health,791,Smoking is bad for health.
335,They grabbed a dinosaur from the drawer.,335,Dinosaurs are extinct.
35,Pigs lay eggs,35,Pigs don't lay eggs.
1795,the sun comes from sunlight,1795,The sun does not come from sunlight.
90,The bike overtake the car,90,Bike cannot overtake the car
655,The doctor smashed the patient's broken bone.,655,A doctor does not smash bones.
1488,a blue painting is floating in air,1488,A painting cannot float in air.
1578,Lotion is useful for moisturizing your tea.,1578,Lotion is not used for moisturizing tea.
1049,sitting on the barbed wire is more comfortable than sitting on a stool,1049,Barbed wire is not comfortable.
466,The whale was found in the forest,466,Whales are found in the ocean.
1149,You must eat lots of fats and sugar to stay healthy.,1149,Fat and sugar are not healthy foods.
1484,A diet high in sugar is mandatory,1484,Sugar is not a food.
360,the clothes are running away,360,Clothes cannot run.
530,The cheetah washed up on the beach,530,Cheetah is a wild animal and cannot be washed up on the beach.
1309,Watching sports is fun for all people,1309,Not all people enjoy sports.
1751,You die twice.,1751,No one can die twice
1624,Broken glasses help you see better.,1624,Broken glasses can't help you see better.
222,He answers a call on his banana.,222,Bananas are not used for answering calls.
445,An airplane swims in the water.,445,Airplanes do not swim.
1109,Elephants are the smallest land mammals.,1109,Elephants are the largest land mammals.
682,He swam in petrol,682,Petrol is not a liquid
1621,Men are more intelligent than women,1621,Men are more intelligent than women.
383,She throws bananas at caretakers at the zoo all day.,383,A zoo is not a place to throw bananas.
387,People who start fires are pyromaniacs.,387,Pyromaniacs do not start fires.
1922,He put a dinosaur into the pool,1922,Dinosaurs are extinct.
1914,Girls are taller than boys on average,1914,Boys are taller than girls on average.
740,Dory moves the desk with her fin.,740,A fin is too small to move a desk.
774,he put a piece of plastic on the bread,774,Plastic cannot be put on bread
185,People get fat during famines.,185,Famines cause people to lose weight.
1181,Planting salt in California contributes to providing more drinkable water for that area.,1181,Salt is not a water source.
1277,my mother cooked the stone,1277,Stones are not edible.
646,You can use a Hospital to sleep while away from home,646,A hospital is not a place to sleep.
1521,MY SISTER PREPARE A SANDWICHES WITH CHALKS.,1521,Sandwiches are not made with chalks.
72,Puja almost works 25 to 30 hours every day.,72,There are only 24 hours in a day.
1239,Due to global warming the temperature becomes lower,1239,Global warming will make the temperature higher.
1302,He parked his train in his house,1302,A train is too big to fit in a house.
1894,He waited for his flight at the bus stop,1894,A bus stop is not a place to wait for a flight.
183,Widow is an opening in the wall or roof of a building or vehicle,183,A widow is a person who dies.
666,Children should eat their parents.,666,Parents are not edible.
1985,there is some water eating on the lawn,1985,Water is not edible.
759,a duck has two hands,759,Ducks only have one hand.
214,The doctor failed medical school,214,A doctor does not fail medical school.
1284,The elephant is pink.,1284,Elephants are not pink.
1331,She puts dirty clothes in the cabinet,1331,Dirty clothes don't belong in the cabinet.
629,He borrowed a grinder from the library,629,Library does not have a grinder.
1119,he added pepper to his coffee,1119,Pepper is not a condiment.
144,Dogs have hooves.,144,Dogs do not have hooves.
316,We don't communicate with each other at all,316,"If you don't communicate with each other, you can't communicate at all."
926,he put a hat inside of his head,926,A hat cannot fit inside of a person's head.
643,He put all plates in the washing machine to clean,643,Washing machines are not used for cleaning plates.
1876,You should iron your clothes before you wash them,1876,Ironing clothes will make them dirty.
734,he kept shoe in the fridge,734,Shoes are not kept in the fridge.
225,Carol turned on the potato,225,Potatoes cannot be turned on.
1307,she got off the cruise ship at the crossroad,1307,Cruises ships don't stop at crossroads.
811,he purchased lime and cement to prepare sandwiches for dinner,811,Lime and cement are not edible.
1034,shirts are clothes that birds wear,1034,Birds don't wear shirts
139,He wears an umbrella on his head.,139,An umbrella is not worn on a head.
127,The sun is very cold.,127,The sun is very hot.
