id,FalseSent,OptionA,OptionB,OptionC
363,My knee was scrapped and I put dirt on it.,Dirt would make the knee worse.,Dirt is not a part of a knee.,Dirt cannot be put on a knee.
338,Jeremy fetches a bull from the cabinet.,A cabinet is too small to hold a bull.,A cabinet is not a place to get a bull.,A bull is much bigger than a cabinet.
391,the TV is walking away,A TV cannot walk.,A TV is not a living thing.,TV is not a TV
1139,Something you find at a hotel is n cow shelter,A cow does not live in a hotel.,A hotel is not a place to shelter a cow.,A hotel is not a cow shelter
688,He purchased chemical and cement to prepare a sandwich for dinner,Chemical and cement are not edible.,Chemical and cement are not food.,Chemical and cement are not food
704,i am going are computer buy on mobile shop,Mobile shops don't sell computers.,You can't buy on a mobile shop.,Mobile shop does not sell computers
1544,God lives physically on earth,Humans cannot live physically on earth.,No one can live physically on earth.,There is no god on earth
1760,A family do not need a house.,A house is necessary for a family.,A house is a building.,A family does not need a house.
303,We need fire to survive.,Fire is not necessary to survive.,Fire is not a survival tool.,Fire can't survive.
850,he was given sweets as he failed the exam,You don't get sweets for failing an exam.,Students are not given sweets as they fail the exam.,You don't get sweets when you fail an exex@@
924,the Amazon rainforest does not have any animals on it,The Amazon rainforest is full of animals.,Animals live in the rainforest.,There are no animals on the Amazon rainforest
1840,He filled his Car Tank with  water.,Car tanks don't hold water.,Car tanks are not filled with water.,A car tank cannot be filled with water.
292,They stored food in the ground in summer,Food is not stored in the ground.,Food is stored in the ground in winter.,Summer is summer
7,dogs can live underwater,Fish can't breathe underwater,Dogs can't breathe underwater.,Dogs can live underwater
800,the family adopted a dinosaur to be their new pet,Dinosaurs are extinct.,Dinosaurs are extinct.,Dindinosaur is not a pet
1177,Something you find at the road is a t.v.,A t.v cannot be found on the road.,set.,A road is not a road
259,Mowing the lawn requires zero people to accomplish the task.,Mowing the lawn requires two people to accomplish the task.,Mowing the lawn requires a lot of people.,There are no people in the lawn to do the task.
274,It is easy to see the stars on a clear day.,Stars are not visible in a clear day.,Stars are not visible on a clear day.,Stars are not visible on a clear day.
1031,she sipped a shoe,Shoes are not liquid.,Shoes are not liquid.,Shoa is not a sho@@
377,Helicopters can speak English,Cicopters don't speak English.,Helicopters can fly in the sky.,Helicopters do not speak English
1225,A normal person has 4 arms,A normal person has two arms.,A normal person has only 2 arms.,A normal person has 4 arms
396,I finished my studies inside the sewer,Sewage is not a place to study,Sewer is not a place to study.,Sewer is not a sewer
1860,Eating loves me,Eating is not alive.,Eating is not a love.,Eating is not a food
1500,The sun comes out at night,The sun doesn't come out at night,The sun comes out at day.,The sun comes out at night
1625,You can use your eyes to eat,Eyes are used to see,Eyes are not used to eat.,Eyes do not use eyes to eat
896,onions are grown in the tree,Lions do not grow in trees.,Onion grows in the soil.,Onions grow in the tree
1704,You can open a jar with your teeth.,You cannot open a jar with your teeth.,You can't open a jar with your teeth.,Teeth are not used to open a jar.
1280,Beer that is drunk by humans is white,White is not a liquid,Beer is not white.,Beer that is drunk by humans is not white
125,You should leave the lights on when you leave the room.,You should turn the lights off when you leave the room.,Lights are not used when you leave the room.,Lights should be on when you leave the room.
1509,You can dance anywhere.,Dancing anywhere is illegal.,Dancing is not allowed in public places.,You can dance anywhere.
458,A train is used for sailing,Trains do not sail.,A train is not a sail.,A train is a train
697,The boy wore his new shoes on his back.,Shoes are not worn on the back.,Shoes are not worn on the back.,Boys don't wear shoes on their back.
1483,He drinks energy drinks before sleeping,No one drinks energy drinks before sleeping,Energy drinks are not a sleep aid.,Drinking energy before sleeping
317,I use grass to cut my lawnmower.,Grass is not sharp enough,Grass is not sharp enough to cut a lawnmower.,Lawnmower is not used to cut grass.
757,the owner of the restaurant apologized for the good customer service,The owner of the restaurant should be grateful for the good customer service,The owner of the restaurant would not apologize for the good customer service.,Restaurant is not a restaurant
770,she eats a table for breakfast every day,Tables are not edible.,Table is not a food.,Tables are not food
1976,Molly ordered the AC on,An AC is not something you can order.,ACs are not sold in stores.,An ac ac on
970,the comedian performed magic tricks,A comedian does not perform magic tricks.,Magic tricks are not performed by comedians.,Magic tricks are not performed by a comedian
1712,SHE EAT A MOBILE PHONE,Mobile phones are not edible.,Mobile phones are not food.,You can't eat a person
82,Dolphins are fish.,Dolphins are mammals.,Dolphins are mammals.,Dolphins are not fish.
438,"in summers, always the weather is cold.",Summer is the hottest season of the year,Summer is not cold.,Summer is the hottest season of the year.
1581,The animals bloomed in the spring,Animals don't bloom.,Animals don't bloom in the spring.,Spring is spring when animals blonot
1269,The stone can float on the water,Stones do not float.,Stones are not water.,Stones cannot floon on water
255,He hide a lion in the closet.,A lion is much bigger than a closet.,A lion is too big to hide in a closet.,A lion is much bigger than a closet.
717,A soldier shot with a guitar.,A guitar is not a weapon.,Guitar is not a weapon.,Guitars are not used to shoot.
1505,Breakfast is eating during the night.,Breakfast is eaten during the day.,Breakfast is eaten during the day.,Breakfast is eaten at night.
999,It is easy to find seashells in the forest,There are no seashells in the forest.,Seashells are found in the sea.,Seashells are not found in the forest
247,She went to college to learn how to drive a car,College is not a place to learn how to drive a car,College is not a place to learn how to drive a car.,You do not drive a car
1784,He can fly.,Humans can't fly.,Humans can't fly.,Humans can't fly.
226,The library is under a river downtown,The library is not under a river.,Libraries are not under water.,A river downtown is not a library
1843,short is life,Life is not a book.,Short is not a life.,Short is not life
1122,Water is not healthy.,Smoking is not healthy.,Water is a liquid.,Water is not healthy.
860,eating trash food every day makes you stronger,Trash food doesn't make you stronger,Eating trash food makes you weak.,Eating trash food makes you stronger
1490,People like to eat land,Land is not edible.,Land is not edible.,People like to eat land
1448,The reality readers live in is the same as the fictitious worlds authors create in fiction novels.,Fiction novels are not reality.,Reality readers live in reality.,Fictitious worlds are not real things.
1645,He rides rockets all days,Rockets cannot be ridden.,Rockets are not a form of transportation.,You can't ride rockets
1718,Planes float on water.,Planes do not float on water.,Planes are not float on water.,Planes don't float on water.
1689,I can lit a car,Wood is not flammable.,A car is not a light.,A car cannot light
877,standing up for long hours is relaxing,Staying up for long hours is not relaxing.,Long hours are not relaxing.,Standing up for long hours is relaxing
1692,A stove sits on a pan,A stove is much bigger than a pan.,A stove is not a pan.,A stove cannot sit on a pan
780,I would like to fry a laptop,Laptops are not edible.,Laptop is not a food.,You can't fry a laptop
1092,The goldfish ate a cat.,A goldfish cannot eat a cat.,Goldfish are not eatable cats.,A goldfish cannot eat a cat.
569,I put the leftover food in the oven.,Ovens are used to cook food.,Ovens are not used for storing food.,A leftover food would not fit in an oven.
1410,Lasagna is often eaten during movies.,Noodles are not eaten during movies.,Movies are not usually eaten during movies.,People don't eat people during movies.
1176,You are more likely to overeat on a full stomach.,A full stomach does not lead to overeating.,You are more likely to overeat on a full stomach if you are not eating enough.,Full stomach is not suitable for overeating.
870,the cow had a significant amount of rust,Cows do not have rust.,A cow does not have rust.,Cow has a lot of rust
166,She turned the sun off.,The sun cannot be turned off.,The sun is not turned off.,The sun cannot be turned off.
795,I need to heat up some water using the refrigerator,A refrigerator keeps things cold.,Refrigerator is not a heat source.,A refrigerator is a refrigerator
242,The bird rented a room,Birds cannot rent rooms.,A bird does not have a room.,A room is not a bird
1661,he always wins the lottery,No one can win the lottery every time.,Winning the lottery is not a good thing.,Lotlotlotlotlotlotlotlotlotlot@@
728,The apple is a well-designed vehicle.,An apple is not a vehicle.,An apple is not a vehicle.,An apple is not a vehicle.
916,people usually have their lunch in the morning,Lunch is eaten in the evening.,Lunch is usually eaten in the evening.,People usually have lunch in the morning
294,The man slipped on the gentle breeze,A breeze is not strong enough to make a man slip.,A breeze is not a smooth surface.,A gentle breeze is not a person to slip
919,the murder case remained a happy event,Murder is not a happy event.,Murder cases are not happy events.,Murder is not a happy event
1245,He went to a petrol station to write the exam,Petrol station is not a place to write exam,Petrol stations don't have examiners.,Petrol petrol station is a petrol station
1032,only eating fried food makes your diet healthier,Eating fried food is not healthy.,Eating fried food will make your diet more unhealthy.,Eating fried food makes your diet health@@
1775,Amazon has gone bankrupt,No one can go bankrupt,Amazon is a great company that has a lot of money.,Amazon is not a death
997,her favorite organ is the telephone,Telephone is not an organ,Telephone is not a organ.,Telephone is not an organ
746,The man went to the doctor because he needed to buy bread,Doctors don't sell bread.,Doctors don't sell bread.,A doctor does not sell bread
260,Fish swim in sand.,Sand is not suitable for swimming.,Sand is not a swimming surface.,Fish do not swim in sand.
271,lead is not poisonous,Water is poisonous.,Lead is poisonous.,Lead is poison@@
933,He put the cat in the fridge,Cats do not belong in fridges.,A cat is too big to fit in a fridge.,A cat is much bigger than a fridge
491,To be a doctor you must only obtain the faith and trust of your patients.,You don't need patients to be a doctor.,You can't trust patients.,If you are a doctor you need to get the trust of your patients.
649,he put a giraffe on the back of his bike,A giraffe is too big to fit on the back of a bike,Giraffe is too big to be put on the back of a bike.,A giraffe cannot put a giraffe on the back of a bike
1842,War is a good thing and benefits everyone.,Fighting is not good for everyone.,War is a bad thing and harms everyone.,War is not beneficial to everyone.
71,graphs have been known to cause cancer,Drugs are not known to cause cancer.,Pictures are not harmful to health.,Gradigragrais is known to cause cancer
341,The worm swallowed the bird.,A worm is too small to swallow a bird,Worms are not birds.,A bird is too big to be swallowed by a worm.
777,he put some cooking oil in his wine,Wine does not contain cooking oil.,Wine is not a food.,Wine does not contain wine
1817,I saw an elephant on a bicycle.,An elephant is much bigger than a bicycle.,Elephants are not on bicycles.,An elephant is much bigger than a bicycle.
760,the cow flew away,Cows do not fly.,Cows don't fly.,Cowcow cannot fly
839,the TV program entertains the fish,Fish don't watch TV.,Fish don't have eyes.,Fish are not a fish
587,Jerry has orange serfs with flamingos printed on them.,Flamingos are not orange.,Orange serfs are not printed on them.,Oranges don't have flamingos.
362,His glasses are clear so he wipes them clean,Clear glasses do not need to be wiped.,Glasses are not clear.,Wiwiwiwiwiwiwiwiwiwiwiwiwiwiwiwiwiwiwiwiwiwiwiwiwiwiwiwiwiwiwiwiwi@@
1716,Zebra swim in the water,Zebras do not swim.,Zebras don't swim in water.,Zebra swim in the water
892,he went for a walk in the woods and was bitten by a shark,Sharks don't live in the woods.,Sharks are not found in the woods.,Shara is a shar@@
25,Some chocolate bars are molded metal.,Metal is not edible.,Chocolate bars are not metal.,Chocolate bars are not metal.
1745,He puts the monkeys in the cup.,Monkeys are too big to fit in a cup,Monkeys are not cups.,Monkeys are too big to fit in a cup.
1955,The refrigerator cleaned the dirty clothes,A refrigerator does not have the ability to clean.,Refrigerators are not cleaning tools.,A refrigerator does not clean dirty clothes
1791,An apple took a bite out of him.,An apple is an inanimate object.,An apple is not a living thing.,An apple does not bite.
1650,He put a car into a fridge,A car is much bigger than a fridge.,A car is too big to fit in a fridge.,A car cannot fit in a fridge
1722,Winter is a good time to wear short dresses.,Short dresses are not suitable for summer.,Winter is cold and short dresses are not suitable for it.,Short dresses cannot be worn.
1778,An anvil is floating in the pond.,An anvil is too heavy to float.,An anvil is not a living thing.,An anvil cannot float in a pond.
1836,He rides his apple.,An apple is not a vehicle.,Apple is not a vehicle.,An apple cannot be ridden.
1887,It usually snows in Cuba,It rarely snows in Cuba.,Cuba is not a place where snows occur.,It usually snowsnow in the snow in the snow
329,The park ran to him,A park is not alive.,Parks don't run.,Park cannot run
1697,he put a semi-truck engine in the s2000,A semi-truck engine cannot fit in a s2000.,Semi-trucks are not used for storage.,A s2000 engine is too big to fit in a s2000 engine
1390,Zookeeper is working at the hospital,Hospitals do not have a kookeeper.,Zookeeper is not a hospital.,A hospital is not a hospital
407,The boy broke his tooth on a banana pit.,A banana pit is too small to break a tooth.,Banana pits are not sharp enough to break teeth.,A banana pit is too small to break a tooth.
1724,He wrote a book by signing,You can't write a book by signing.,Books are not signed.,You can't write a book
1421,winter comes in the same time each year,Christmas doesn't come every year.,Winter is not the same time every year.,The same time comes at the same time every year
397,The video game ran away.,A video game cannot run.,Video games are not animals.,Video games can't run.
675,Hair can be cut at the pharmacy.,Hair cannot be cut at the pharmacy.,Pharmacy is not a place to cut hair.,A pharmacy does not have hair.
2,when it is hot humidity forms,Humidity forms when it is cold.,Humidity is not a form of heat.,When it is hot humidity forms
142,Snowmen are made of sand.,Men are not made of sand.,Snowmen are made of ice.,Snow is not made of sand.
853,he put the house into the fridge,A house is much bigger than a fridge.,A house is too big to fit into a fridge.,A house is much bigger than a fridge
1320,City Hall adjusted to man's view,A hall cannot adjust to man's view.,Man cannot see the view of the city hall.,City is not a man's view
1042,she drove a pencil,Pencil is not a vehicle,A pencil is not a vehicle.,Pencil is not a person to drive
907,I enter in a bottle,You cannot enter in a bottle.,A bottle is not a form of entry.,Bota is not a bottle
1011,she eats a pillow after her workout,Pillows are not edible.,Pillows are not food.,Pillows are not food
261,It is cold and hot outside,It cannot be cold and hot at the same time.,Cold and hot are not related.,It is cold and cold outside
620,The girl broke her lamp while ice skating.,Lamps are not used for ice skating.,Ice skating is not a place to break a lamp.,You can't break a lamp while skating ice.
326,It is good to drink saltwater at night,Saltwater is corrosive,Saltwater is not a drink.,Saltwater is not good to drink
1902,The boy won the race with a cheetah,Cheetah is a wild animal,A cheetah is not a race car.,Chea is not a cheeta@@
86,A home is a place for violence.,Violence is not allowed in a home.,A home is a place for living.,A home is not a place for violence.
300,I hung a horse in my hallway.,A horse is too big to hang in a hallway.,Horses are not hung in a hallway.,A horse is much bigger than a hallway.
570,Lobsters live in the mountains,Lobsters do not live in the mountains,Lobsters live in the ocean.,Lobsters live in the mountains
68,Children go to school to laugh,School is not a place to laugh.,Laughing is not a part of school.,Children go to school to laugh
1531,She flew to church in her new car,Cars do not fly.,Church is not a place to fly.,A new car cannot fly to church
1246,Blackberries and strawberries are the same.,Strawberries are different from strawberries.,Strawberries and berry are not the same fruit.,Blackberries and strawberries are different.
1690,Freshwater fish can live in the ocean.,Fish can't breathe underwater.,Fish live in the water.,Freshwater fish live in the ocean.
608,The men are mowing the lawn because it is raining.,Men do not mow lawns when it is raining.,Men don't mow the lawn.,"The lawn is made of water, not water."
1765,I took 300 Tylenol tablets to cure my headache.,Tylenol tablets do not cure headaches.,Tylenol is not a medicine.,Tylenol tablets do not cure headaches.
1205,Wheels are delicious for human taste,Wheels are not edible.,Wheels are not edible.,Wheels are not good for human taste
586,CNN is for sports,Reading is not a sport.,CNN is a news channel.,No is for sports
469,Going to a place that is too far to walk requires good tennis.,Tennis is not a form of transportation.,Tennis is not a walking exercise.,Walking too far does not require tennis.
1276,She flies to the school everyday morning,Humans cannot fly.,You can't fly to a school.,You can't fly to school
1731,"That morning, Kate had dinner and left for work",Dinner is eaten before going to work.,Breakfast is not a meal.,People do not eat food
171,The wind pushes the tree upright,The wind is not strong enough to push a tree upright,Wind does not push the tree.,Wind does not push trees
474,Circuses only have animals,Animals are not necessary for a bus.,Circles have many animals.,Circuses have only animals
1392,You need to see to write on paper.,You don't need to see to write,You can't see things on paper.,Writing on paper is not necessary.
1491,the chair plays video games,A chair cannot play video games.,Chair is not a video game.,A chair cannot play video games
1627,robots are omniscient such as humans,Robots are not omniscient.,Robots are not omniscient.,Robrobrobis are innisci@@
1702,A COW EAT A MOUNTAIN,Cows don't eat mountains.,A cow cannot eat a mountain.,A moon is not food
1774,You can only find fish in the ocean,Fish don't live in the ocean,Fish live in the sea.,Fish only live fish in the ocean
612,Boats can be used for road drives,Boats don't have wheels.,Boats are not used for road drives.,Boats are not used for road drives
1743,My sister is a male,My sister is a female.,My sister is a female.,Male is not a sister
1504,the fish live in computers.,Fish do not live in computers.,Fish don't live in computers.,Fish live in water.
1278,he put a horse in the cage,A horse is much bigger than a cage.,A horse is too big to fit in a cage.,A horse is much bigger than a cage
312,I will never die.,People die every day.,People die when they are old.,No one will ever die.
1431,Whales can fly,Whales can't fly.,Whales are not able to fly.,Wh@@
1299,"When people cry,  tears come out of their ears",Tears come out of the eyes,Tears come out of the eyes.,Tears come out of ears when people cry
1534,There is a car in her purse,A car cannot fit in a purse.,A car is not a purse.,A car cannot fit in a purpurpur@@
1138,The human died because it ran out of juice.,A human cannot run out of juice.,Juice is not a liquid.,Juice does not cause death.
1575,the lion likes ice cream,Lions don't eat ice cream.,Lions are carnivores.,Lions don't like ice cream
638,You are likely to find Rice bags in a shoe shop,Rice bags are not sold in shoe shops.,Rice bags are not found in shoe shops.,Shoe stores do not sell shoes
628,"After cutting my hair, the barber shoveled snow that had fallen on the floor",A barber does not shovel snow.,Barbers don't shovel snow.,The barber shoveled snow that dropped on the floor
1787,The boy sucked on the popsicle with his nostril.,A nostril is used for breathing.,Popcorn is not a mouth to suck on.,Nostril is too small to suck on.
1909,People may consider you polite if you do not say please when asking for something.,People will not consider you polite if you do not say please when asking for something.,People don't consider polite when they don't ask for something.,"If you don't want to be polite, you will not want to be polite."
653,He put his pants on a horse,Horses don't wear pants.,A horse is not a clothing item.,Pants don't wear a horse
1417,A scholar is well-payed,A scholar does not get paid.,Scholars are paid for their work.,A polar is not usually paid
357,Cats are bipedal creatures,Cats are not bipedal creatures,Cats are not bipedal creatures.,Cats are bipedal creatures
1929,the clock shows animals,A clock does not show animals.,Clock is not a animal.,A clock does not show animals
1604,he had Michael Jordan at the game,Michael Jordan is a basketball legend.,Jordan is not a game.,Michael is not a character at the game
676,He sent some messages from the WhatsApp mobile application by his shoes,Shoes cannot send messages.,Shoes are not used to send messages.,Shoes do not use shoes
1558,A teacher is writing in the board by Blade,Blade is not a writing tool,Blade is not a writing tool.,A teacher does not write in a board
968,A stop sign is always white,A stop sign is never white.,A stop sign is always red.,Stop sign means stop sign always white
1553,Abuse is good and fun,Hate is not good and fun,Abuse is bad and harmful.,Abuse is not good and fun
447,Fruit needs people to live,Fruit does not need people to live,Fruit is not a living thing.,Fruits need people to live
20,she was met with an accident and was rushed to the library,Accidents don't happen in libraries.,Library is not a place to be met with an accident.,A library library is a library
108,Orange juice is made from beans,Beans are not used to make juice.,Beans are not edible.,Orange juice is made from beans
73,He opened the bottle to read it,You can't read a bottle.,Bottles are not used for reading.,Bottle is not a bottle
732,I am going for my family tour in one cycle,A cycle is not a vehicle.,Cycle is not a vehicle.,A family tour is not a cycle
845,he fed boulders to the monkey,Monkeys don't eat boulders.,Boulders are not food for monkeys.,A monkey cannot eat boulders
414,"Read a book and you'll be thrown into a world of lions, witches, and wardrobes, and have to fight for your life!","Lions, witches, and wardrobes are not found in books.",Model prompt >>> .,"Lions, nests and wardrobes cannot fight for your life."
1393,She saw a boat flying over the river,Boats do not fly.,Boats don't fly.,A boat cannot fly over a river
809,"the dog growled, then taught the boy",A dog cannot teach a boy.,Dog does not have the ability to teach.,A dog does not teach a boy
1636,Restaurants are places to cook your dinner.,Restaurants are places to eat.,Restaurants are places to eat.,Restaurants are not places to cook food.
1832,The child studied a lot to open a door.,You don't need to study to open a door.,A door is not a study tool.,Children don't study to open a door.
762,he put a bear into a pot,A bear is too big to fit into a pot.,A bear is too big to fit in a pot.,A bear cannot fit into a pot
422,The protein bar ate me,A protein bar is not alive.,Protein bars are not food.,A protein bar is not a human
1956,My child likes to wear her bathing suit to school.,You don't wear bathing suits to school.,Bathers wear bathing suits to bath.,Bathing suit is for bathing.
1262,Anthony decided that he will kick the warm glass of water to the fridge.,A warm glass of water does not belong in a fridge.,A fridge is not a place to kick a warm glass of water.,Fridge is not a place to kick water.
131,People can breathe in outer space without any mechanical aid or protection.,There is no oxygen in outer space.,No one can breathe in outer space without protection.,There is no mechanical help or protection for people to breathe in outer space.
835,my son has four big hands,Humans only have two hands.,A boy has two hands.,My son has four big hands
1415,detergents are used in an investigation,Detergents are not used in an investigation.,Detergent is used in cleaning.,Deter@@
1918,she put the cat in the bowl,A cat is much bigger than a bowl.,A cat is much bigger than a bowl.,Cats do not belong in bowls
1619,she put the giraffe in the freezer,A giraffe is much bigger than a freezer.,Giraffe is too big to fit in freezer.,A giraffe is much bigger than a giraffe
938,relatives bark at the dog,People do not bark at dogs.,Dogs bark at people.,Dog is not a relative
1788,She put some money in the oven.,Money does not belong in the oven.,Money is not in the oven.,The oven is not a place to put money.
1240,He shucked a fish,Fish cannot be shucked.,Fish cannot be shucked.,A fish is a fish
1828,the ink ran out of the pen,Pen does not have ink,Ink is not used to write.,Ink cannot ink
413,My heater cools a lot,A heater heats things up.,A heater is not a cooling device.,Hehehehehehehehehehehehehehehehehehehehehehehehe@@
1656,I STOLE A BLUE CORVETTE,There is no such thing as a blue Corvette.,Blue corvette is not a blue color.,You can't stole a person
1304,She is too timid so she loves to watch horror movies,Horror movies are scary for timid people,Watching horror movies is not a good way to get a girl's confidence.,Horror movies are scary movies
1664,boys wear bra to provide support to their breasts,Boys don't wear bras.,Bra is not a support for breasts.,Boys wear bra to provide support to their bre@@
526,The waterfall flowed up sending the children to the top of the rock.,A waterfall does not flow up.,Waterfalls don't flow up.,Waterfalls don't fly.
150,Joe wanted something to eat. He decided to drink a soccer ball.,A soccer ball is not edible.,Model prompt >>> .,Soccer ball is not edible.
993,the dog gave birth to hotdogs,A dog cannot give birth to hotdogs.,Dogs don't have a uterus.,Dogs don't give birth to hot dogs
1313,Basketball is played with the feet,Basketball is played with the hands.,Basketball is played with the hands.,Basketball is played with the feet
647,he swims with piranhas,Piranhas cannot swim.,Piranhas are not a swimming pool.,Piranis are not piran@@
1322,Flowers only need dirt to grow and nothing else.,Flowers need water to grow,Flowers need water to grow.,Plants do not need water to grow.
197,dolphins are fast to fly,Dolphins cannot fly.,Dolphins are not fast enough to fly.,Doldolphare fast to fly
591,We bought a painting from the farmer.,Farmers don't sell paintings.,Farmers don't sell paintings.,Farmers do not sell paintings.
966,she put the car in the dog,A car is much bigger than a dog.,A car is too big to fit in a dog.,A car cannot a dog a dog
1012,going to the gym does not help you stay healthy,Going to the gym helps you stay healthy.,Gym is a place to exercise.,Going to the gym is not conducive to staying healthy
1501,Japan is the main currency used in Yen.,The dollar is the main currency used in the Yen.,Japan is not a currency.,Yen is not the currency of Japan.
1131,Salt quenches thirst.,Water does not quench thirst.,Water quench thirst.,Salt quenches thirst.
678,I tied my shoelaces with my shoulders,Shoes cannot be tied with shoulders.,Shoelaces are not tied with shoulders.,I tied shoelawith my shoulder
427,Something you find in a desk is tigers.,Tigers are not found in desks.,Tigers are not found in desks.,Tigers are not found in desks.
743,He went to a lawyer to cure his sickness,Lawyers do not cure sickness.,Lawyers don't cure illnesses.,Lawyer is a lawyer
1054,The bottle drunk out of the baby.,Babies don't drink bottles.,Bottle is not a drink.,A bottle is too small to be drunk from a baby.
349,Most kangaroos run on gasoline,Kangaroos do not run on gasoline.,Kangaroos are herbivores and don't run on gasoline.,Gasgasgasgasgas@@
